t_s,hour,capacity_kw,total_req_kw,total_flex_req_kw,total_served_kw,total_unmet_kw,hospital_req_kw,hospital_served_kw,hospital_unmet_kw,hospital_flex_req_kw,hospital_flex_served_kw,hospital_flex_unmet_kw,residential_req_kw,residential_served_kw,residential_unmet_kw,residential_flex_req_kw,residential_flex_served_kw,residential_flex_unmet_kw,commercial_req_kw,commercial_served_kw,commercial_unmet_kw,commercial_flex_req_kw,commercial_flex_served_kw,commercial_flex_unmet_kw,industrial_req_kw,industrial_served_kw,industrial_unmet_kw,industrial_flex_req_kw,industrial_flex_served_kw,industrial_flex_unmet_kw,ev_charging_req_kw,ev_charging_served_kw,ev_charging_unmet_kw,ev_charging_flex_req_kw,ev_charging_flex_served_kw,ev_charging_flex_unmet_kw
6300,7.75,220.0,250.20964482078296,85,220.0,115.20964482078294,72.63005827707309,72.63005827707309,0.0,5,0.0,5.0,61.9221638907713,61.9221638907713,0.0,18,0.0,18.0,51.85042871550591,51.85042871550591,0.0,12,0.0,12.0,50.842531463045,33.597349116649696,17.245182346395303,15,0.0,15.0,12.964462474387638,0.0,12.964462474387638,35,0.0,35.0
6600,7.833333333333333,220.0,264.5661677450491,85,220.0,129.56616774504909,78.39556431339447,78.39556431339447,0.0,5,0.0,5.0,67.25361386892716,67.25361386892716,0.0,18,0.0,18.0,53.079034579698366,53.079034579698366,0.0,12,0.0,12.0,52.60941475535631,21.271787237980014,31.337627517376298,15,0.0,15.0,13.228540227672793,0.0,13.228540227672793,35,0.0,35.0
6900,7.916666666666667,220.0,264.6840171180021,85,220.0,129.68401711800206,72.18024155397013,72.18024155397013,0.0,5,0.0,5.0,69.43741559972415,69.43741559972415,0.0,18,0.0,18.0,55.16209064711523,55.16209064711523,0.0,12,0.0,12.0,54.40379532746871,23.220252199190504,31.183543128278203,15,0.0,15.0,13.500473989723867,0.0,13.500473989723867,35,0.0,35.0
7200,8.0,220.0,260.28727037174326,85,220.0,125.28727037174325,75.22656447937347,75.22656447937347,0.0,5,0.0,5.0,66.78143758228981,66.78143758228981,0.0,18,0.0,18.0,52.10299412982943,52.10299412982943,0.0,12,0.0,12.0,53.54550700992939,25.889003808507304,27.656503201422083,15,0.0,15.0,12.630767170321162,0.0,12.630767170321162,35,0.0,35.0
7500,8.083333333333334,220.0,257.20449217522935,85,220.0,122.20449217522935,73.16747572528374,73.16747572528374,0.0,5,0.0,5.0,66.08437990644377,66.08437990644377,0.0,18,0.0,18.0,52.921870470486844,52.921870470486844,0.0,12,0.0,12.0,52.33038020689518,27.826273897785647,24.50410630910953,15,0.0,15.0,12.700385866119808,0.0,12.700385866119808,35,0.0,35.0
7800,8.166666666666666,220.0,257.6582762879529,85,220.0,122.65827628795292,72.99761094539154,72.99761094539154,0.0,5,0.0,5.0,66.18141161460285,66.18141161460285,0.0,18,0.0,18.0,53.00511867616714,53.00511867616714,0.0,12,0.0,12.0,52.740882945512595,27.81585876383845,24.925024181674146,15,0.0,15.0,12.733252106278773,0.0,12.733252106278773,35,0.0,35.0
8100,8.25,220.0,268.95813762146906,85,220.0,133.9581376214691,80.01132980348869,80.01132980348869,0.0,5,0.0,5.0,69.7608236130114,69.7608236130114,0.0,18,0.0,18.0,53.596907050253186,53.596907050253186,0.0,12,0.0,12.0,52.36909122158566,16.63093953324671,35.73815168833895,15,0.0,15.0,13.219985933130138,0.0,13.219985933130138,35,0.0,35.0
8400,8.333333333333334,220.0,270.62181814485183,85,220.0,135.62181814485186,76.28157126775822,76.28157126775822,0.0,5,0.0,5.0,66.65245506201826,66.65245506201826,0.0,18,0.0,18.0,57.7454406187996,57.7454406187996,0.0,12,0.0,12.0,56.521746592982204,19.3205330514239,37.2012135415583,15,0.0,15.0,13.420604603293553,0.0,13.420604603293553,35,0.0,35.0
8700,8.416666666666666,220.0,263.9129028136839,85,220.0,128.91290281368393,77.3326405023082,77.3326405023082,0.0,5,0.0,5.0,66.56533717101658,66.56533717101658,0.0,18,0.0,18.0,53.723687149303956,53.723687149303956,0.0,12,0.0,12.0,53.11704713824594,22.378335177371255,30.73871196087468,15,0.0,15.0,13.174190852809238,0.0,13.174190852809238,35,0.0,35.0
9000,8.5,220.0,270.498433731848,85,220.0,135.498433731848,80.04862931474578,80.04862931474578,0.0,5,0.0,5.0,67.14699851903428,67.14699851903428,0.0,18,0.0,18.0,53.329336186445296,53.329336186445296,0.0,12,0.0,12.0,56.43532220223677,19.475035979774653,36.960286222462116,15,0.0,15.0,13.538147509385885,0.0,13.538147509385885,35,0.0,35.0
